Starting epsilon decay: 0.991818
🔥 New best solution! Steps: 156. Decay decreased to 0.990752
Episode 56 | Reward: 98.3 | Steps: 18 | Epsilon: 0.108 | Result: WIN | Decay: 0.976888 | Time: 0.0000s
Episode 57 | Reward: 96.3 | Steps: 20 | Epsilon: 0.106 | Result: WIN | Decay: 0.976888 | Time: 0.0000s
Episode 58 | Reward: 91.7 | Steps: 57 | Epsilon: 0.103 | Result: WIN | Decay: 0.976888 | Time: 0.0001s
Episode 59 | Reward: 97.5 | Steps: 17 | Epsilon: 0.101 | Result: WIN | Decay: 0.976888 | Time: 0.0000s
Episode 60 | Reward: 98.1 | Steps: 20 | Epsilon: 0.098 | Result: WIN | Decay: 0.976888 | Time: 0.0001s
Episode 61 | Reward: 97.1 | Steps: 21 | Epsilon: 0.096 | Result: WIN | Decay: 0.976888 | Time: 0.0001s
Episode 62 | Reward: 98.5 | Steps: 16 | Epsilon: 0.094 | Result: WIN | Decay: 0.976888 | Time: 0.0000s
Episode 63 | Reward: 97.5 | Steps: 17 | Epsilon: 0.092 | Result: WIN | Decay: 0.976888 | Time: 0.0000s
Episode 64 | Reward: 98.5 | Steps: 16 | Epsilon: 0.090 | Result: WIN | Decay: 0.976888 | Time: 0.0000s
Episode 65 | Reward: 98.5 | Steps: 16 | Epsilon: 0.088 | Result: WIN | Decay: 0.976888 | Time: 0.0000s
Episode 66 | Reward: 98.5 | Steps: 16 | Epsilon: 0.085 | Result: WIN | Decay: 0.976888 | Time: 0.0001s
Episode 67 | Reward: 98.5 | Steps: 16 | Epsilon: 0.084 | Result: WIN | Decay: 0.976888 | Time: 0.0001s
Episode 68 | Reward: 97.3 | Steps: 19 | Epsilon: 0.082 | Result: WIN | Decay: 0.976888 | Time: 0.0001s
Episode 69 | Reward: 98.5 | Steps: 16 | Epsilon: 0.080 | Result: WIN | Decay: 0.976888 | Time: 0.0001s
Episode 70 | Reward: 97.5 | Steps: 17 | Epsilon: 0.078 | Result: WIN | Decay: 0.976888 | Time: 0.0000s
Episode 71 | Reward: 96.9 | Steps: 23 | Epsilon: 0.076 | Result: WIN | Decay: 0.976888 | Time: 0.0001s
Episode 72 | Reward: 96.3 | Steps: 20 | Epsilon: 0.074 | Result: WIN | Decay: 0.976888 | Time: 0.0000s
Episode 73 | Reward: 97.3 | Steps: 19 | Epsilon: 0.073 | Result: WIN | Decay: 0.976888 | Time: 0.0000s
Episode 74 | Reward: 97.5 | Steps: 17 | Epsilon: 0.071 | Result: WIN | Decay: 0.976888 | Time: 0.0000s
Episode 75 | Reward: 98.5 | Steps: 16 | Epsilon: 0.069 | Result: WIN | Decay: 0.976888 | Time: 0.0000s
Episode 76 | Reward: 98.5 | Steps: 16 | Epsilon: 0.068 | Result: WIN | Decay: 0.976888 | Time: 0.0000s
Episode 77 | Reward: 98.5 | Steps: 16 | Epsilon: 0.066 | Result: WIN | Decay: 0.976888 | Time: 0.0000s
Episode 78 | Reward: 97.5 | Steps: 17 | Epsilon: 0.065 | Result: WIN | Decay: 0.976888 | Time: 0.0000s
Episode 79 | Reward: 97.5 | Steps: 17 | Epsilon: 0.063 | Result: WIN | Decay: 0.976888 | Time: 0.0000s
Episode 80 | Reward: 96.3 | Steps: 20 | Epsilon: 0.062 | Result: WIN | Decay: 0.976888 | Time: 0.0001s
Episode 81 | Reward: 98.5 | Steps: 16 | Epsilon: 0.060 | Result: WIN | Decay: 0.976888 | Time: 0.0000s
Episode 82 | Reward: 98.5 | Steps: 16 | Epsilon: 0.059 | Result: WIN | Decay: 0.976888 | Time: 0.0000s
Episode 83 | Reward: 98.5 | Steps: 16 | Epsilon: 0.057 | Result: WIN | Decay: 0.976888 | Time: 0.0000s
Episode 84 | Reward: 98.5 | Steps: 16 | Epsilon: 0.056 | Result: WIN | Decay: 0.976888 | Time: 0.0000s
Episode 85 | Reward: 98.5 | Steps: 16 | Epsilon: 0.055 | Result: WIN | Decay: 0.976888 | Time: 0.0000s
Episode 86 | Reward: 98.5 | Steps: 16 | Epsilon: 0.054 | Result: WIN | Decay: 0.976888 | Time: 0.0000s
Episode 87 | Reward: 98.5 | Steps: 16 | Epsilon: 0.052 | Result: WIN | Decay: 0.976888 | Time: 0.0000s
Episode 88 | Reward: 98.5 | Steps: 16 | Epsilon: 0.051 | Result: WIN | Decay: 0.976888 | Time: 0.0000s
Episode 89 | Reward: 98.5 | Steps: 16 | Epsilon: 0.050 | Result: WIN | Decay: 0.976888 | Time: 0.0000s
Episode 90 | Reward: 97.5 | Steps: 17 | Epsilon: 0.049 | Result: WIN | Decay: 0.976888 | Time: 0.0000s
