Episode 226 | Reward: 99.20 | Steps: 9 | Epsilon: 0.06 | Result: WIN | Time: 0.00002s
Episode 227 | Reward: 99.20 | Steps: 9 | Epsilon: 0.06 | Result: WIN | Time: 0.00002s
Episode 228 | Reward: 99.20 | Steps: 9 | Epsilon: 0.06 | Result: WIN | Time: 0.00002s
Episode 229 | Reward: 99.20 | Steps: 9 | Epsilon: 0.06 | Result: WIN | Time: 0.00002s
Episode 230 | Reward: 99.20 | Steps: 9 | Epsilon: 0.06 | Result: WIN | Time: 0.00002s
Episode 231 | Reward: 99.20 | Steps: 9 | Epsilon: 0.06 | Result: WIN | Time: 0.00002s
Episode 232 | Reward: 99.20 | Steps: 9 | Epsilon: 0.06 | Result: WIN | Time: 0.00002s
Episode 233 | Reward: 99.20 | Steps: 9 | Epsilon: 0.06 | Result: WIN | Time: 0.00002s
Episode 234 | Reward: 99.20 | Steps: 9 | Epsilon: 0.06 | Result: WIN | Time: 0.00002s
Episode 235 | Reward: 98.80 | Steps: 11 | Epsilon: 0.06 | Result: WIN | Time: 0.00003s
Episode 236 | Reward: 99.20 | Steps: 9 | Epsilon: 0.06 | Result: WIN | Time: 0.00002s
Episode 237 | Reward: 98.20 | Steps: 10 | Epsilon: 0.06 | Result: WIN | Time: 0.00002s
Episode 238 | Reward: 99.20 | Steps: 9 | Epsilon: 0.06 | Result: WIN | Time: 0.00002s
Episode 239 | Reward: 99.20 | Steps: 9 | Epsilon: 0.06 | Result: WIN | Time: 0.00002s
Episode 240 | Reward: 99.20 | Steps: 9 | Epsilon: 0.06 | Result: WIN | Time: 0.00002s
Episode 241 | Reward: 98.80 | Steps: 11 | Epsilon: 0.06 | Result: WIN | Time: 0.00002s
Episode 242 | Reward: 99.20 | Steps: 9 | Epsilon: 0.06 | Result: WIN | Time: 0.00002s
Episode 243 | Reward: 99.20 | Steps: 9 | Epsilon: 0.06 | Result: WIN | Time: 0.00002s
Episode 244 | Reward: 99.20 | Steps: 9 | Epsilon: 0.06 | Result: WIN | Time: 0.00002s
Episode 245 | Reward: 98.20 | Steps: 10 | Epsilon: 0.06 | Result: WIN | Time: 0.00002s
Episode 246 | Reward: 99.20 | Steps: 9 | Epsilon: 0.06 | Result: WIN | Time: 0.00002s
Episode 247 | Reward: 98.20 | Steps: 10 | Epsilon: 0.06 | Result: WIN | Time: 0.00002s
Episode 248 | Reward: 99.20 | Steps: 9 | Epsilon: 0.06 | Result: WIN | Time: 0.00002s
Episode 249 | Reward: 99.20 | Steps: 9 | Epsilon: 0.06 | Result: WIN | Time: 0.00002s
Episode 250 | Reward: 98.80 | Steps: 11 | Epsilon: 0.06 | Result: WIN | Time: 0.00002s
