Starting epsilon decay: 0.997755
🔥 New best solution! Steps: 3113. Decay decreased to 0.997461
Episode 61 | Reward: 50.399999999999814 | Steps: 245 | Epsilon: 0.239 | Result: WIN | Decay: 0.995106 | Time: 0.0006s
Episode 62 | Reward: 3.4000000000003467 | Steps: 490 | Epsilon: 0.238 | Result: WIN | Decay: 0.995106 | Time: 0.0012s
Episode 63 | Reward: -1.7999999999992156 | Steps: 515 | Epsilon: 0.237 | Result: WIN | Decay: 0.995106 | Time: 0.0013s
Episode 64 | Reward: -40.999999999998266 | Steps: 691 | Epsilon: 0.236 | Result: WIN | Decay: 0.995106 | Time: 0.0019s
Episode 65 | Reward: 54.79999999999982 | Steps: 237 | Epsilon: 0.235 | Result: WIN | Decay: 0.995106 | Time: 0.0006s
Episode 66 | Reward: -78.59999999999724 | Steps: 959 | Epsilon: 0.233 | Result: WIN | Decay: 0.995106 | Time: 0.0027s
🔥 New best solution! Steps: 204. Decay decreased to 0.994812
Episode 67 | Reward: 57.19999999999989 | Steps: 204 | Epsilon: 0.232 | Result: WIN | Decay: 0.994812 | Time: 0.0005s
Episode 68 | Reward: -88.39999999999742 | Steps: 913 | Epsilon: 0.231 | Result: WIN | Decay: 0.994812 | Time: 0.0022s
Episode 69 | Reward: -17.799999999999088 | Steps: 576 | Epsilon: 0.230 | Result: WIN | Decay: 0.994812 | Time: 0.0017s
Episode 70 | Reward: 57.999999999999844 | Steps: 205 | Epsilon: 0.229 | Result: WIN | Decay: 0.994812 | Time: 0.0005s
Episode 71 | Reward: -57.19999999999769 | Steps: 844 | Epsilon: 0.227 | Result: WIN | Decay: 0.994812 | Time: 0.0020s
Episode 72 | Reward: 27.999999999999986 | Steps: 361 | Epsilon: 0.226 | Result: WIN | Decay: 0.994812 | Time: 0.0009s
Episode 73 | Reward: 4.800000000000296 | Steps: 440 | Epsilon: 0.225 | Result: WIN | Decay: 0.994812 | Time: 0.0011s
🔥 New best solution! Steps: 173. Decay decreased to 0.994517
Episode 74 | Reward: 75.59999999999995 | Steps: 173 | Epsilon: 0.224 | Result: WIN | Decay: 0.994517 | Time: 0.0004s
Episode 75 | Reward: 53.39999999999982 | Steps: 269 | Epsilon: 0.223 | Result: WIN | Decay: 0.994517 | Time: 0.0007s
