Episode 86 | Reward: 97.50 | Steps: 17 | Epsilon: 0.20 | Result: WIN | Time: 0.00004s
Episode 87 | Reward: 93.90 | Steps: 27 | Epsilon: 0.19 | Result: WIN | Time: 0.00005s
Episode 88 | Reward: 98.50 | Steps: 16 | Epsilon: 0.19 | Result: WIN | Time: 0.00003s
Episode 89 | Reward: 95.20 | Steps: 21 | Epsilon: 0.19 | Result: WIN | Time: 0.00004s
Episode 90 | Reward: 97.50 | Steps: 17 | Epsilon: 0.19 | Result: WIN | Time: 0.00004s
Episode 91 | Reward: 94.70 | Steps: 23 | Epsilon: 0.19 | Result: WIN | Time: 0.00005s
Episode 92 | Reward: 93.10 | Steps: 28 | Epsilon: 0.19 | Result: WIN | Time: 0.00006s
Episode 93 | Reward: 93.50 | Steps: 21 | Epsilon: 0.19 | Result: WIN | Time: 0.00004s
Episode 94 | Reward: 96.50 | Steps: 18 | Epsilon: 0.19 | Result: WIN | Time: 0.00004s
Episode 95 | Reward: 98.10 | Steps: 18 | Epsilon: 0.19 | Result: WIN | Time: 0.00004s
Episode 96 | Reward: 91.70 | Steps: 26 | Epsilon: 0.19 | Result: WIN | Time: 0.00005s
Episode 97 | Reward: 98.50 | Steps: 16 | Epsilon: 0.19 | Result: WIN | Time: 0.00004s
Episode 98 | Reward: 96.20 | Steps: 20 | Epsilon: 0.18 | Result: WIN | Time: 0.00004s
Episode 99 | Reward: 95.10 | Steps: 21 | Epsilon: 0.18 | Result: WIN | Time: 0.00004s
Episode 100 | Reward: 96.10 | Steps: 20 | Epsilon: 0.18 | Result: WIN | Time: 0.00004s
Episode 101 | Reward: 95.80 | Steps: 22 | Epsilon: 0.18 | Result: WIN | Time: 0.00005s
Episode 102 | Reward: 96.50 | Steps: 23 | Epsilon: 0.18 | Result: WIN | Time: 0.00005s
Episode 103 | Reward: 96.30 | Steps: 23 | Epsilon: 0.18 | Result: WIN | Time: 0.00005s
Episode 104 | Reward: 97.80 | Steps: 20 | Epsilon: 0.18 | Result: WIN | Time: 0.00004s
Episode 105 | Reward: 97.30 | Steps: 22 | Epsilon: 0.18 | Result: WIN | Time: 0.00005s
Episode 106 | Reward: 97.50 | Steps: 17 | Epsilon: 0.18 | Result: WIN | Time: 0.00004s
Episode 107 | Reward: 96.10 | Steps: 20 | Epsilon: 0.18 | Result: WIN | Time: 0.00004s
Episode 108 | Reward: 95.30 | Steps: 24 | Epsilon: 0.18 | Result: WIN | Time: 0.00005s
Episode 109 | Reward: 96.40 | Steps: 23 | Epsilon: 0.17 | Result: WIN | Time: 0.00005s
