Episode 41 | Reward: 99.60 | Steps: 5 | Epsilon: 0.08 | Result: WIN | Time: 0.00001s
Episode 42 | Reward: 99.60 | Steps: 5 | Epsilon: 0.08 | Result: WIN | Time: 0.00001s
Episode 43 | Reward: 99.60 | Steps: 5 | Epsilon: 0.08 | Result: WIN | Time: 0.00001s
Episode 44 | Reward: 99.60 | Steps: 5 | Epsilon: 0.08 | Result: WIN | Time: 0.00001s
Episode 45 | Reward: 99.60 | Steps: 5 | Epsilon: 0.08 | Result: WIN | Time: 0.00001s
Episode 46 | Reward: 99.60 | Steps: 5 | Epsilon: 0.08 | Result: WIN | Time: 0.00001s
Episode 47 | Reward: 99.60 | Steps: 5 | Epsilon: 0.08 | Result: WIN | Time: 0.00001s
Episode 48 | Reward: 97.60 | Steps: 7 | Epsilon: 0.08 | Result: WIN | Time: 0.00002s
Episode 49 | Reward: 98.60 | Steps: 6 | Epsilon: 0.08 | Result: WIN | Time: 0.00001s
Episode 50 | Reward: 99.20 | Steps: 7 | Epsilon: 0.08 | Result: WIN | Time: 0.00002s
Episode 51 | Reward: 99.60 | Steps: 5 | Epsilon: 0.08 | Result: WIN | Time: 0.00001s
Episode 52 | Reward: 99.60 | Steps: 5 | Epsilon: 0.08 | Result: WIN | Time: 0.00001s
Episode 53 | Reward: 99.60 | Steps: 5 | Epsilon: 0.08 | Result: WIN | Time: 0.00001s
Episode 54 | Reward: 99.60 | Steps: 5 | Epsilon: 0.08 | Result: WIN | Time: 0.00001s
Episode 55 | Reward: 99.60 | Steps: 5 | Epsilon: 0.08 | Result: WIN | Time: 0.00001s
Episode 56 | Reward: 99.60 | Steps: 5 | Epsilon: 0.08 | Result: WIN | Time: 0.00001s
Episode 57 | Reward: 99.60 | Steps: 5 | Epsilon: 0.08 | Result: WIN | Time: 0.00001s
Episode 58 | Reward: 99.60 | Steps: 5 | Epsilon: 0.08 | Result: WIN | Time: 0.00001s
Episode 59 | Reward: 99.60 | Steps: 5 | Epsilon: 0.07 | Result: WIN | Time: 0.00001s
Episode 60 | Reward: 99.60 | Steps: 5 | Epsilon: 0.07 | Result: WIN | Time: 0.00001s
Episode 61 | Reward: 99.60 | Steps: 5 | Epsilon: 0.07 | Result: WIN | Time: 0.00001s
Episode 62 | Reward: 99.60 | Steps: 5 | Epsilon: 0.07 | Result: WIN | Time: 0.00001s
Episode 63 | Reward: 98.60 | Steps: 6 | Epsilon: 0.07 | Result: WIN | Time: 0.00001s
Episode 64 | Reward: 99.60 | Steps: 5 | Epsilon: 0.07 | Result: WIN | Time: 0.00001s
Episode 65 | Reward: 99.60 | Steps: 5 | Epsilon: 0.07 | Result: WIN | Time: 0.00001s
Episode 66 | Reward: 99.60 | Steps: 5 | Epsilon: 0.07 | Result: WIN | Time: 0.00001s
Episode 67 | Reward: 99.60 | Steps: 5 | Epsilon: 0.07 | Result: WIN | Time: 0.00001s
Episode 68 | Reward: 99.60 | Steps: 5 | Epsilon: 0.07 | Result: WIN | Time: 0.00001s
Episode 69 | Reward: 99.60 | Steps: 5 | Epsilon: 0.07 | Result: WIN | Time: 0.00001s
Episode 70 | Reward: 99.60 | Steps: 5 | Epsilon: 0.07 | Result: WIN | Time: 0.00001s
Episode 71 | Reward: 99.60 | Steps: 5 | Epsilon: 0.07 | Result: WIN | Time: 0.00001s
Episode 72 | Reward: 99.60 | Steps: 5 | Epsilon: 0.07 | Result: WIN | Time: 0.00001s
Episode 73 | Reward: 97.60 | Steps: 7 | Epsilon: 0.07 | Result: WIN | Time: 0.00001s
Episode 74 | Reward: 99.60 | Steps: 5 | Epsilon: 0.07 | Result: WIN | Time: 0.00001s
Episode 75 | Reward: 99.60 | Steps: 5 | Epsilon: 0.07 | Result: WIN | Time: 0.00001s
Episode 76 | Reward: 99.60 | Steps: 5 | Epsilon: 0.07 | Result: WIN | Time: 0.00001s
Episode 77 | Reward: 99.60 | Steps: 5 | Epsilon: 0.07 | Result: WIN | Time: 0.00001s
Episode 78 | Reward: 99.60 | Steps: 5 | Epsilon: 0.07 | Result: WIN | Time: 0.00001s
Episode 79 | Reward: 99.60 | Steps: 5 | Epsilon: 0.07 | Result: WIN | Time: 0.00001s
Episode 80 | Reward: 99.60 | Steps: 5 | Epsilon: 0.07 | Result: WIN | Time: 0.00001s
Episode 81 | Reward: 99.60 | Steps: 5 | Epsilon: 0.07 | Result: WIN | Time: 0.00001s
Episode 82 | Reward: 99.60 | Steps: 5 | Epsilon: 0.07 | Result: WIN | Time: 0.00001s
Episode 83 | Reward: 99.60 | Steps: 5 | Epsilon: 0.07 | Result: WIN | Time: 0.00001s
Episode 84 | Reward: 99.60 | Steps: 5 | Epsilon: 0.07 | Result: WIN | Time: 0.00001s
Episode 85 | Reward: 99.60 | Steps: 5 | Epsilon: 0.07 | Result: WIN | Time: 0.00001s
Episode 86 | Reward: 99.60 | Steps: 5 | Epsilon: 0.07 | Result: WIN | Time: 0.00001s
Episode 87 | Reward: 99.60 | Steps: 5 | Epsilon: 0.06 | Result: WIN | Time: 0.00001s
Episode 88 | Reward: 99.60 | Steps: 5 | Epsilon: 0.06 | Result: WIN | Time: 0.00001s
Episode 89 | Reward: 98.20 | Steps: 8 | Epsilon: 0.06 | Result: WIN | Time: 0.00002s
Episode 90 | Reward: 99.60 | Steps: 5 | Epsilon: 0.06 | Result: WIN | Time: 0.00001s
Episode 91 | Reward: 99.60 | Steps: 5 | Epsilon: 0.06 | Result: WIN | Time: 0.00001s
Episode 92 | Reward: 98.20 | Steps: 8 | Epsilon: 0.06 | Result: WIN | Time: 0.00002s
Episode 93 | Reward: 99.60 | Steps: 5 | Epsilon: 0.06 | Result: WIN | Time: 0.00001s
Episode 94 | Reward: 99.60 | Steps: 5 | Epsilon: 0.06 | Result: WIN | Time: 0.00001s
