Starting epsilon decay: 0.997755
🔥 New best solution! Steps: 1787. Decay decreased to 0.997461
Episode 60 | Reward: 36.89999999999972 | Steps: 299 | Epsilon: 0.238 | Result: WIN | Decay: 0.995695 | Time: 0.0008s
Episode 61 | Reward: 41.099999999999774 | Steps: 257 | Epsilon: 0.237 | Result: WIN | Decay: 0.995695 | Time: 0.0008s
Episode 62 | Reward: 73.69999999999996 | Steps: 165 | Epsilon: 0.236 | Result: WIN | Decay: 0.995695 | Time: 0.0004s
Episode 63 | Reward: 38.89999999999977 | Steps: 261 | Epsilon: 0.235 | Result: WIN | Decay: 0.995695 | Time: 0.0006s
🔥 New best solution! Steps: 93. Decay decreased to 0.995400
Episode 64 | Reward: 82.70000000000002 | Steps: 93 | Epsilon: 0.234 | Result: WIN | Decay: 0.995400 | Time: 0.0002s
Episode 65 | Reward: 17.900000000000077 | Steps: 399 | Epsilon: 0.233 | Result: WIN | Decay: 0.995400 | Time: 0.0010s
Episode 66 | Reward: 62.69999999999986 | Steps: 203 | Epsilon: 0.232 | Result: WIN | Decay: 0.995400 | Time: 0.0005s
Episode 67 | Reward: 69.89999999999993 | Steps: 149 | Epsilon: 0.231 | Result: WIN | Decay: 0.995400 | Time: 0.0004s
Episode 68 | Reward: 82.30000000000003 | Steps: 133 | Epsilon: 0.230 | Result: WIN | Decay: 0.995400 | Time: 0.0003s
Episode 69 | Reward: 22.700000000000045 | Steps: 441 | Epsilon: 0.229 | Result: WIN | Decay: 0.995400 | Time: 0.0011s
Episode 70 | Reward: 66.09999999999988 | Steps: 178 | Epsilon: 0.228 | Result: WIN | Decay: 0.995400 | Time: 0.0004s
Episode 71 | Reward: 41.099999999999696 | Steps: 311 | Epsilon: 0.227 | Result: WIN | Decay: 0.995400 | Time: 0.0008s
Episode 72 | Reward: 71.69999999999993 | Steps: 140 | Epsilon: 0.226 | Result: WIN | Decay: 0.995400 | Time: 0.0003s
Episode 73 | Reward: 63.69999999999986 | Steps: 211 | Epsilon: 0.225 | Result: WIN | Decay: 0.995400 | Time: 0.0005s
Episode 74 | Reward: 46.09999999999978 | Steps: 279 | Epsilon: 0.223 | Result: WIN | Decay: 0.995400 | Time: 0.0008s
🔥 New best solution! Steps: 78. Decay decreased to 0.995106
Episode 75 | Reward: 86.90000000000002 | Steps: 78 | Epsilon: 0.222 | Result: WIN | Decay: 0.995106 | Time: 0.0005s
Episode 76 | Reward: 45.69999999999977 | Steps: 274 | Epsilon: 0.221 | Result: WIN | Decay: 0.995106 | Time: 0.0007s
