Episode 118 | Reward: 51.50 | Steps: 106 | Epsilon: 0.70 | Result: WIN | Time: 0.0003s
Episode 119 | Reward: 73.70 | Steps: 64 | Epsilon: 0.70 | Result: WIN | Time: 0.0002s
Episode 120 | Reward: 73.70 | Steps: 64 | Epsilon: 0.70 | Result: WIN | Time: 0.0002s
Episode 121 | Reward: 65.40 | Steps: 77 | Epsilon: 0.70 | Result: WIN | Time: 0.0002s
Episode 122 | Reward: 78.40 | Steps: 47 | Epsilon: 0.69 | Result: WIN | Time: 0.0001s
Episode 123 | Reward: 72.20 | Steps: 69 | Epsilon: 0.69 | Result: WIN | Time: 0.0002s
Episode 124 | Reward: 71.80 | Steps: 73 | Epsilon: 0.69 | Result: WIN | Time: 0.0002s
Episode 125 | Reward: 70.30 | Steps: 78 | Epsilon: 0.69 | Result: WIN | Time: 0.0002s
Episode 126 | Reward: -51.10 | Steps: 121 | Epsilon: 0.68 | Result: LOSE | Time: 0.0003s
Episode 127 | Reward: 51.80 | Steps: 93 | Epsilon: 0.68 | Result: WIN | Time: 0.0003s
Episode 128 | Reward: 71.10 | Steps: 70 | Epsilon: 0.68 | Result: WIN | Time: 0.0002s
Episode 129 | Reward: 65.90 | Steps: 82 | Epsilon: 0.68 | Result: WIN | Time: 0.0002s
Episode 130 | Reward: 76.30 | Steps: 58 | Epsilon: 0.68 | Result: WIN | Time: 0.0002s
Episode 131 | Reward: 68.70 | Steps: 74 | Epsilon: 0.67 | Result: WIN | Time: 0.0002s
Episode 132 | Reward: 66.10 | Steps: 60 | Epsilon: 0.67 | Result: WIN | Time: 0.0002s
Episode 133 | Reward: 75.40 | Steps: 57 | Epsilon: 0.67 | Result: WIN | Time: 0.0002s
Episode 134 | Reward: 69.70 | Steps: 64 | Epsilon: 0.67 | Result: WIN | Time: 0.0002s
Episode 135 | Reward: 79.60 | Steps: 55 | Epsilon: 0.67 | Result: WIN | Time: 0.0002s
Episode 136 | Reward: 66.00 | Steps: 71 | Epsilon: 0.66 | Result: WIN | Time: 0.0002s
Episode 137 | Reward: 55.20 | Steps: 119 | Epsilon: 0.66 | Result: WIN | Time: 0.0003s
Episode 138 | Reward: 59.10 | Steps: 90 | Epsilon: 0.66 | Result: WIN | Time: 0.0003s
Episode 139 | Reward: 81.40 | Steps: 57 | Epsilon: 0.66 | Result: WIN | Time: 0.0002s
Episode 140 | Reward: 75.90 | Steps: 62 | Epsilon: 0.66 | Result: WIN | Time: 0.0002s
Episode 141 | Reward: 55.90 | Steps: 102 | Epsilon: 0.65 | Result: WIN | Time: 0.0003s
Episode 142 | Reward: 51.80 | Steps: 93 | Epsilon: 0.65 | Result: WIN | Time: 0.0003s
Episode 143 | Reward: 60.50 | Steps: 76 | Epsilon: 0.65 | Result: WIN | Time: 0.0002s
Episode 144 | Reward: 68.50 | Steps: 76 | Epsilon: 0.65 | Result: WIN | Time: 0.0002s
Episode 145 | Reward: 58.20 | Steps: 89 | Epsilon: 0.65 | Result: WIN | Time: 0.0003s
Episode 146 | Reward: 78.90 | Steps: 52 | Epsilon: 0.64 | Result: WIN | Time: 0.0002s
Episode 147 | Reward: 88.30 | Steps: 38 | Epsilon: 0.64 | Result: WIN | Time: 0.0001s
Episode 148 | Reward: 72.20 | Steps: 69 | Epsilon: 0.64 | Result: WIN | Time: 0.0002s
Episode 149 | Reward: 87.30 | Steps: 48 | Epsilon: 0.64 | Result: WIN | Time: 0.0002s
Episode 150 | Reward: 68.40 | Steps: 67 | Epsilon: 0.64 | Result: WIN | Time: 0.0002s
