Episode 93 | Reward: 98.10 | Steps: 20 | Epsilon: 0.19 | Result: WIN | Time: 0.00006s
Episode 94 | Reward: 94.60 | Steps: 28 | Epsilon: 0.19 | Result: WIN | Time: 0.00009s
Episode 95 | Reward: 98.10 | Steps: 20 | Epsilon: 0.19 | Result: WIN | Time: 0.00006s
Episode 96 | Reward: 91.70 | Steps: 32 | Epsilon: 0.19 | Result: WIN | Time: 0.00010s
Episode 97 | Reward: 95.70 | Steps: 22 | Epsilon: 0.18 | Result: WIN | Time: 0.00007s
Episode 98 | Reward: 96.90 | Steps: 21 | Epsilon: 0.18 | Result: WIN | Time: 0.00007s
Episode 99 | Reward: 95.00 | Steps: 26 | Epsilon: 0.18 | Result: WIN | Time: 0.00008s
Episode 100 | Reward: 96.10 | Steps: 25 | Epsilon: 0.18 | Result: WIN | Time: 0.00008s
Episode 101 | Reward: 96.90 | Steps: 21 | Epsilon: 0.18 | Result: WIN | Time: 0.00007s
Episode 102 | Reward: 95.70 | Steps: 22 | Epsilon: 0.18 | Result: WIN | Time: 0.00007s
Episode 103 | Reward: 96.90 | Steps: 21 | Epsilon: 0.18 | Result: WIN | Time: 0.00007s
Episode 104 | Reward: 96.90 | Steps: 21 | Epsilon: 0.18 | Result: WIN | Time: 0.00007s
Episode 105 | Reward: 94.90 | Steps: 26 | Epsilon: 0.18 | Result: WIN | Time: 0.00008s
Episode 106 | Reward: 94.90 | Steps: 26 | Epsilon: 0.18 | Result: WIN | Time: 0.00008s
Episode 107 | Reward: 96.60 | Steps: 23 | Epsilon: 0.18 | Result: WIN | Time: 0.00007s
Episode 108 | Reward: 95.70 | Steps: 22 | Epsilon: 0.17 | Result: WIN | Time: 0.00007s
Episode 109 | Reward: 96.10 | Steps: 25 | Epsilon: 0.17 | Result: WIN | Time: 0.00008s
Episode 110 | Reward: 96.60 | Steps: 23 | Epsilon: 0.17 | Result: WIN | Time: 0.00007s
Episode 111 | Reward: 96.90 | Steps: 21 | Epsilon: 0.17 | Result: WIN | Time: 0.00007s
