Episode 143 | Reward: 99.20 | Steps: 9 | Epsilon: 0.10 | Result: WIN | Time: 0.00003s
Episode 144 | Reward: 98.80 | Steps: 13 | Epsilon: 0.10 | Result: WIN | Time: 0.00004s
Episode 145 | Reward: 98.80 | Steps: 11 | Epsilon: 0.10 | Result: WIN | Time: 0.00003s
Episode 146 | Reward: 96.80 | Steps: 11 | Epsilon: 0.10 | Result: WIN | Time: 0.00003s
Episode 147 | Reward: 98.00 | Steps: 10 | Epsilon: 0.10 | Result: WIN | Time: 0.00003s
Episode 148 | Reward: 99.20 | Steps: 9 | Epsilon: 0.10 | Result: WIN | Time: 0.00003s
Episode 149 | Reward: 97.70 | Steps: 12 | Epsilon: 0.09 | Result: WIN | Time: 0.00004s
Episode 150 | Reward: 96.80 | Steps: 11 | Epsilon: 0.09 | Result: WIN | Time: 0.00003s
Episode 151 | Reward: 98.40 | Steps: 13 | Epsilon: 0.09 | Result: WIN | Time: 0.00004s
Episode 152 | Reward: 98.80 | Steps: 11 | Epsilon: 0.09 | Result: WIN | Time: 0.00003s
Episode 153 | Reward: 99.20 | Steps: 9 | Epsilon: 0.09 | Result: WIN | Time: 0.00003s
Episode 154 | Reward: 98.00 | Steps: 10 | Epsilon: 0.09 | Result: WIN | Time: 0.00003s
Episode 155 | Reward: 95.60 | Steps: 12 | Epsilon: 0.09 | Result: WIN | Time: 0.00004s
Episode 156 | Reward: 99.20 | Steps: 9 | Epsilon: 0.09 | Result: WIN | Time: 0.00003s
Episode 157 | Reward: 99.20 | Steps: 9 | Epsilon: 0.09 | Result: WIN | Time: 0.00003s
Episode 158 | Reward: 99.20 | Steps: 9 | Epsilon: 0.09 | Result: WIN | Time: 0.00003s
Episode 159 | Reward: 98.90 | Steps: 11 | Epsilon: 0.09 | Result: WIN | Time: 0.00003s
Episode 160 | Reward: 98.80 | Steps: 11 | Epsilon: 0.09 | Result: WIN | Time: 0.00003s
Episode 161 | Reward: 97.60 | Steps: 12 | Epsilon: 0.09 | Result: WIN | Time: 0.00004s
Episode 162 | Reward: 99.20 | Steps: 9 | Epsilon: 0.09 | Result: WIN | Time: 0.00003s
Episode 163 | Reward: 96.40 | Steps: 13 | Epsilon: 0.09 | Result: WIN | Time: 0.00004s
Episode 164 | Reward: 98.00 | Steps: 10 | Epsilon: 0.09 | Result: WIN | Time: 0.00003s
Episode 165 | Reward: 98.80 | Steps: 11 | Epsilon: 0.09 | Result: WIN | Time: 0.00003s
Episode 166 | Reward: 99.20 | Steps: 9 | Epsilon: 0.09 | Result: WIN | Time: 0.00003s
Episode 167 | Reward: 97.70 | Steps: 12 | Epsilon: 0.09 | Result: WIN | Time: 0.00004s
Episode 168 | Reward: 99.20 | Steps: 9 | Epsilon: 0.09 | Result: WIN | Time: 0.00003s
Episode 169 | Reward: 99.20 | Steps: 9 | Epsilon: 0.09 | Result: WIN | Time: 0.00003s
Episode 170 | Reward: 99.20 | Steps: 9 | Epsilon: 0.09 | Result: WIN | Time: 0.00003s
Episode 171 | Reward: 99.20 | Steps: 9 | Epsilon: 0.08 | Result: WIN | Time: 0.00003s
Episode 172 | Reward: 98.50 | Steps: 13 | Epsilon: 0.08 | Result: WIN | Time: 0.00004s
Episode 173 | Reward: 97.70 | Steps: 12 | Epsilon: 0.08 | Result: WIN | Time: 0.00004s
Episode 174 | Reward: 98.80 | Steps: 11 | Epsilon: 0.08 | Result: WIN | Time: 0.00004s
Episode 175 | Reward: 99.20 | Steps: 9 | Epsilon: 0.08 | Result: WIN | Time: 0.00003s
Episode 176 | Reward: 98.00 | Steps: 10 | Epsilon: 0.08 | Result: WIN | Time: 0.00004s
Episode 177 | Reward: 99.20 | Steps: 9 | Epsilon: 0.08 | Result: WIN | Time: 0.00003s
Episode 178 | Reward: 96.40 | Steps: 13 | Epsilon: 0.08 | Result: WIN | Time: 0.00004s
Episode 179 | Reward: 98.00 | Steps: 10 | Epsilon: 0.08 | Result: WIN | Time: 0.00003s
Episode 180 | Reward: 98.10 | Steps: 15 | Epsilon: 0.08 | Result: WIN | Time: 0.00020s
Episode 181 | Reward: 99.20 | Steps: 9 | Epsilon: 0.08 | Result: WIN | Time: 0.00003s
Episode 182 | Reward: 96.80 | Steps: 11 | Epsilon: 0.08 | Result: WIN | Time: 0.00005s
Episode 183 | Reward: 96.40 | Steps: 13 | Epsilon: 0.08 | Result: WIN | Time: 0.00005s
Episode 184 | Reward: 99.20 | Steps: 9 | Epsilon: 0.08 | Result: WIN | Time: 0.00003s
Episode 185 | Reward: 99.20 | Steps: 9 | Epsilon: 0.08 | Result: WIN | Time: 0.00003s
Episode 186 | Reward: 98.00 | Steps: 10 | Epsilon: 0.08 | Result: WIN | Time: 0.00004s
Episode 187 | Reward: 99.20 | Steps: 9 | Epsilon: 0.08 | Result: WIN | Time: 0.00004s
Episode 188 | Reward: 99.20 | Steps: 9 | Epsilon: 0.08 | Result: WIN | Time: 0.00003s
Episode 189 | Reward: 99.20 | Steps: 9 | Epsilon: 0.08 | Result: WIN | Time: 0.00003s
Episode 190 | Reward: 98.50 | Steps: 13 | Epsilon: 0.08 | Result: WIN | Time: 0.00004s
Episode 191 | Reward: 96.80 | Steps: 11 | Epsilon: 0.08 | Result: WIN | Time: 0.00004s
Episode 192 | Reward: 99.20 | Steps: 9 | Epsilon: 0.08 | Result: WIN | Time: 0.00003s
Episode 193 | Reward: 98.90 | Steps: 11 | Epsilon: 0.08 | Result: WIN | Time: 0.00003s
Episode 194 | Reward: 99.20 | Steps: 9 | Epsilon: 0.08 | Result: WIN | Time: 0.00003s
Episode 195 | Reward: 99.20 | Steps: 9 | Epsilon: 0.08 | Result: WIN | Time: 0.00003s
Episode 196 | Reward: 99.20 | Steps: 9 | Epsilon: 0.07 | Result: WIN | Time: 0.00004s
Episode 197 | Reward: 99.20 | Steps: 9 | Epsilon: 0.07 | Result: WIN | Time: 0.00003s
Episode 198 | Reward: 99.20 | Steps: 9 | Epsilon: 0.07 | Result: WIN | Time: 0.00003s
Episode 199 | Reward: 99.20 | Steps: 9 | Epsilon: 0.07 | Result: WIN | Time: 0.00003s
Episode 200 | Reward: 99.20 | Steps: 9 | Epsilon: 0.07 | Result: WIN | Time: 0.00003s
Episode 201 | Reward: 99.20 | Steps: 9 | Epsilon: 0.07 | Result: WIN | Time: 0.00003s
Episode 202 | Reward: 99.20 | Steps: 9 | Epsilon: 0.07 | Result: WIN | Time: 0.00003s
Episode 203 | Reward: 98.00 | Steps: 10 | Epsilon: 0.07 | Result: WIN | Time: 0.00004s
Episode 204 | Reward: 99.20 | Steps: 9 | Epsilon: 0.07 | Result: WIN | Time: 0.00003s
Episode 205 | Reward: 99.20 | Steps: 9 | Epsilon: 0.07 | Result: WIN | Time: 0.00003s
Episode 206 | Reward: 99.20 | Steps: 9 | Epsilon: 0.07 | Result: WIN | Time: 0.00003s
Episode 207 | Reward: 99.20 | Steps: 9 | Epsilon: 0.07 | Result: WIN | Time: 0.00003s
Episode 208 | Reward: 99.20 | Steps: 9 | Epsilon: 0.07 | Result: WIN | Time: 0.00003s
