Episode 10 | Reward: -1488.10 | Steps: 2601 | Epsilon: 0.99 | Result: LOSE | Time: 0.0134s
Episode 11 | Reward: -1473.10 | Steps: 2601 | Epsilon: 0.99 | Result: LOSE | Time: 0.0137s
Episode 12 | Reward: -1468.10 | Steps: 2601 | Epsilon: 0.99 | Result: LOSE | Time: 0.0133s
Episode 13 | Reward: -1386.10 | Steps: 2601 | Epsilon: 0.99 | Result: LOSE | Time: 0.0135s
Episode 14 | Reward: -1450.10 | Steps: 2601 | Epsilon: 0.99 | Result: LOSE | Time: 0.0134s
Episode 15 | Reward: -1431.10 | Steps: 2601 | Epsilon: 0.99 | Result: LOSE | Time: 0.0133s
Episode 16 | Reward: -1647.10 | Steps: 2601 | Epsilon: 0.98 | Result: LOSE | Time: 0.0134s
Episode 17 | Reward: -1530.10 | Steps: 2601 | Epsilon: 0.98 | Result: LOSE | Time: 0.0135s
Episode 18 | Reward: -1458.10 | Steps: 2601 | Epsilon: 0.98 | Result: LOSE | Time: 0.0136s
Episode 19 | Reward: -1428.10 | Steps: 2601 | Epsilon: 0.98 | Result: LOSE | Time: 0.0138s
Episode 20 | Reward: -1480.10 | Steps: 2601 | Epsilon: 0.98 | Result: LOSE | Time: 0.0137s
Episode 21 | Reward: -1435.10 | Steps: 2601 | Epsilon: 0.98 | Result: LOSE | Time: 0.0138s
Episode 22 | Reward: -1508.10 | Steps: 2601 | Epsilon: 0.98 | Result: LOSE | Time: 0.0138s
Episode 23 | Reward: -1520.10 | Steps: 2601 | Epsilon: 0.98 | Result: LOSE | Time: 0.0138s
Episode 24 | Reward: -1472.10 | Steps: 2601 | Epsilon: 0.98 | Result: LOSE | Time: 0.0138s
Episode 25 | Reward: -1534.10 | Steps: 2601 | Epsilon: 0.98 | Result: LOSE | Time: 0.0137s
Episode 26 | Reward: -1524.10 | Steps: 2601 | Epsilon: 0.97 | Result: LOSE | Time: 0.0138s
Episode 27 | Reward: -1404.10 | Steps: 2601 | Epsilon: 0.97 | Result: LOSE | Time: 0.0138s
Episode 28 | Reward: -1422.10 | Steps: 2601 | Epsilon: 0.97 | Result: LOSE | Time: 0.0138s
Episode 29 | Reward: -1409.10 | Steps: 2601 | Epsilon: 0.97 | Result: LOSE | Time: 0.0138s
Episode 30 | Reward: -1541.10 | Steps: 2601 | Epsilon: 0.97 | Result: LOSE | Time: 0.0138s
Episode 31 | Reward: -1567.10 | Steps: 2601 | Epsilon: 0.97 | Result: LOSE | Time: 0.0136s
Episode 32 | Reward: -1489.10 | Steps: 2601 | Epsilon: 0.97 | Result: LOSE | Time: 0.0136s
Episode 33 | Reward: -1426.10 | Steps: 2601 | Epsilon: 0.97 | Result: LOSE | Time: 0.0137s
Episode 34 | Reward: -1578.10 | Steps: 2601 | Epsilon: 0.97 | Result: LOSE | Time: 0.0137s
Episode 35 | Reward: -1519.10 | Steps: 2601 | Epsilon: 0.97 | Result: LOSE | Time: 0.0138s
Episode 36 | Reward: -1517.10 | Steps: 2601 | Epsilon: 0.96 | Result: LOSE | Time: 0.0137s
Episode 37 | Reward: -1312.10 | Steps: 2601 | Epsilon: 0.96 | Result: LOSE | Time: 0.0137s
